image_path,label,tamper_type,category,has_mask,mask_path
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_68_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_68_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_49_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_49_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_79_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_79_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_70_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_70_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_36_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_36_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_96_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_96_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_82_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_82_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_81_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_81_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_58_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_58_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_73_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_73_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_71_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_71_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_67_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_67_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_59_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_59_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_52_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_52_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_74_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_74_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_56_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_56_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_83_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_83_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_29_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_29_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_38_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_38_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_35_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_35_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_19_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_19_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_72_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_72_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_41_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_41_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_27_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_27_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_4_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_4_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_78_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_78_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_62_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_62_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_51_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_51_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_82_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_82_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_74_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_74_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_59_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_59_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_79_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_79_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_56_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_56_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_63_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_63_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_68_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_68_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_27_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_27_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_35_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_35_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_60_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_60_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_58_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_58_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_52_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_52_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_34_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_34_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_30_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_30_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_96_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_96_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_71_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_71_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_19_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_19_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_4_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_4_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_29_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_29_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_67_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_67_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_84_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_84_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s9_61_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s9_61_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_49_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_49_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s11_38_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s11_38_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_83_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_83_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_78_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_78_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_81_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_81_a_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Splicing/s1_72_a.tif,1,Splicing,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Splicing/s1_72_a_1.tif
